humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,skeptic_fraction,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.5633333333333334,0.9233333333333333,0.30333333333333334,0.45666666666666667,68,7,0.0,0.4,0.0,0.0,3,8,True
300,0.39,0.7733333333333333,0.21333333333333335,0.41,54,5,0.0,0.4,0.0,0.0,3,9,True
300,0.42,0.79,0.16,0.49666666666666665,60,6,0.0,0.4,0.0,0.0,3,10,True
300,0.5233333333333333,0.8666666666666667,0.2966666666666667,0.42333333333333334,65,6,0.0,0.4,0.0,0.0,3,11,True
300,0.4666666666666667,0.8666666666666667,0.23666666666666666,0.4666666666666667,71,5,0.0,0.4,0.0,0.0,3,12,True
300,0.48,0.84,0.25333333333333335,0.4666666666666667,71,5,0.0,0.4,0.0,0.0,3,13,True
300,0.66,0.95,0.24,0.5966666666666667,102,7,0.0,0.4,0.0,0.0,3,14,True
300,0.5166666666666667,0.8666666666666667,0.3,0.42333333333333334,88,6,0.0,0.4,0.0,0.0,3,15,True
300,0.47333333333333333,0.8166666666666667,0.12333333333333334,0.5933333333333334,67,5,0.0,0.4,0.0,0.0,3,16,True
300,0.4033333333333333,0.77,0.10333333333333333,0.5766666666666667,54,7,0.0,0.4,0.0,0.0,3,17,True
300,0.4666666666666667,0.82,0.3466666666666667,0.31666666666666665,62,5,0.0,0.4,0.0,0.0,3,18,True
300,0.5233333333333333,0.8933333333333333,0.27,0.4633333333333333,71,7,0.0,0.4,0.0,0.0,3,19,True
300,0.47333333333333333,0.88,0.23,0.5233333333333333,66,5,0.0,0.4,0.0,0.0,3,20,True
300,0.3233333333333333,0.6633333333333333,0.18333333333333332,0.35,31,9,0.0,0.4,0.0,0.0,3,21,True
300,0.52,0.8766666666666667,0.24333333333333335,0.5066666666666667,73,5,0.0,0.4,0.0,0.0,3,22,True
300,0.6133333333333333,0.94,0.2633333333333333,0.56,104,6,0.0,0.4,0.0,0.0,3,23,True
300,0.6433333333333333,0.94,0.24333333333333335,0.5966666666666667,104,6,0.0,0.4,0.0,0.0,3,24,True
300,0.5666666666666667,0.9066666666666666,0.3433333333333333,0.4033333333333333,77,6,0.0,0.4,0.0,0.0,3,25,True
300,0.5333333333333333,0.8366666666666667,0.25666666666666665,0.47333333333333333,84,4,0.0,0.4,0.0,0.0,3,26,True
300,0.38666666666666666,0.7533333333333333,0.15333333333333332,0.45,43,5,0.0,0.4,0.0,0.0,3,27,True
300,0.44,0.8133333333333334,0.25666666666666665,0.42,53,6,0.0,0.4,0.0,0.0,3,28,True
300,0.65,0.94,0.23666666666666666,0.6033333333333334,101,7,0.0,0.4,0.0,0.0,3,29,True
300,0.7133333333333334,0.9566666666666667,0.22666666666666666,0.6633333333333333,125,5,0.0,0.5,0.0,0.0,3,0,True
300,0.68,0.9466666666666667,0.42,0.46,93,6,0.0,0.5,0.0,0.0,3,1,True
300,0.5433333333333333,0.89,0.19,0.61,90,5,0.0,0.5,0.0,0.0,3,2,True
300,0.43666666666666665,0.7933333333333333,0.15666666666666668,0.5333333333333333,56,6,0.0,0.5,0.0,0.0,3,3,True
300,0.69,0.9333333333333333,0.33,0.5133333333333333,99,7,0.0,0.5,0.0,0.0,3,4,True
300,0.6,0.8933333333333333,0.19666666666666666,0.61,110,6,0.0,0.5,0.0,0.0,3,5,True
300,0.7966666666666666,0.9633333333333334,0.3233333333333333,0.5966666666666667,133,6,0.0,0.5,0.0,0.0,3,6,True
300,0.6233333333333333,0.9166666666666666,0.27,0.5533333333333333,95,6,0.0,0.5,0.0,0.0,3,7,True
300,0.6,0.8733333333333333,0.2833333333333333,0.49333333333333335,89,6,0.0,0.5,0.0,0.0,3,8,True
300,0.6633333333333333,0.91,0.37,0.44666666666666666,103,5,0.0,0.5,0.0,0.0,3,9,True
