humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,network,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.013333333333333334,0.05,0.013333333333333334,0.0033333333333333335,4,2,scale_free,0.175,0.0,0.0,3,5,False
300,0.15666666666666668,0.6633333333333333,0.10333333333333333,0.22333333333333333,22,7,scale_free,0.175,0.0,0.0,3,6,False
300,0.01,0.023333333333333334,0.01,0.0,3,0,scale_free,0.175,0.0,0.0,3,7,False
300,0.16333333333333333,0.5666666666666667,0.10666666666666667,0.22666666666666666,16,4,scale_free,0.175,0.0,0.0,3,8,False
300,0.023333333333333334,0.09,0.01,0.03666666666666667,5,2,scale_free,0.175,0.0,0.0,3,9,False
300,0.12,0.47,0.09666666666666666,0.10666666666666667,13,7,scale_free,0.175,0.0,0.0,3,10,False
300,0.14,0.52,0.08666666666666667,0.23666666666666666,18,8,scale_free,0.175,0.0,0.0,3,11,False
300,0.12333333333333334,0.5566666666666666,0.06666666666666667,0.19,18,9,scale_free,0.175,0.0,0.0,3,12,False
300,0.02666666666666667,0.11,0.01,0.03666666666666667,4,2,scale_free,0.175,0.0,0.0,3,13,False
300,0.043333333333333335,0.17,0.013333333333333334,0.11,4,6,scale_free,0.175,0.0,0.0,3,14,False
300,0.02,0.06,0.016666666666666666,0.01,4,1,scale_free,0.175,0.0,0.0,3,15,False
300,0.13666666666666666,0.5566666666666666,0.08666666666666667,0.24,18,6,scale_free,0.175,0.0,0.0,3,16,False
300,0.04,0.17333333333333334,0.03666666666666667,0.023333333333333334,6,2,scale_free,0.175,0.0,0.0,3,17,False
300,0.09,0.3933333333333333,0.03666666666666667,0.21666666666666667,11,6,scale_free,0.175,0.0,0.0,3,18,False
300,0.11,0.37,0.06333333333333334,0.14333333333333334,9,3,scale_free,0.175,0.0,0.0,3,19,False
300,0.11333333333333333,0.48,0.043333333333333335,0.25333333333333335,18,4,scale_free,0.175,0.0,0.0,3,20,False
300,0.02,0.08,0.02,0.0033333333333333335,4,1,scale_free,0.175,0.0,0.0,3,21,False
300,0.13,0.49333333333333335,0.043333333333333335,0.32,15,6,scale_free,0.175,0.0,0.0,3,22,False
300,0.016666666666666666,0.05,0.016666666666666666,0.0,4,2,scale_free,0.175,0.0,0.0,3,23,False
300,0.01,0.03,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.175,0.0,0.0,3,24,False
300,0.16333333333333333,0.5066666666666667,0.09,0.24,23,7,scale_free,0.175,0.0,0.0,3,25,False
300,0.11666666666666667,0.41333333333333333,0.06666666666666667,0.22333333333333333,14,5,scale_free,0.175,0.0,0.0,3,26,False
300,0.12,0.47333333333333333,0.05333333333333334,0.27,15,7,scale_free,0.175,0.0,0.0,3,27,False
300,0.09,0.3566666666666667,0.03666666666666667,0.15333333333333332,13,6,scale_free,0.175,0.0,0.0,3,28,False
300,0.10666666666666667,0.5033333333333333,0.07,0.15333333333333332,16,7,scale_free,0.175,0.0,0.0,3,29,False
300,0.15,0.52,0.08333333333333333,0.2866666666666667,24,6,scale_free,0.2,0.0,0.0,3,0,False
300,0.12333333333333334,0.43666666666666665,0.05,0.22,16,7,scale_free,0.2,0.0,0.0,3,1,False
