humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,factcheck_fraction,factcheck_placement,run,cascade,bots,factcheck
291,0.003436426116838488,0.013745704467353952,0.0,0.006872852233676976,1,0,0.0,0.03,hubs,4,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.0,0.010309278350515464,1,0,0.0,0.03,hubs,5,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.003436426116838488,0.0,0.003436426116838488,1,0,0.0,0.03,hubs,6,False,0%,3% фактчекеров в хабах
291,0.006872852233676976,0.01718213058419244,0.0,0.013745704467353952,2,2,0.0,0.03,hubs,7,False,0%,3% фактчекеров в хабах
291,0.020618556701030927,0.15120274914089346,0.003436426116838488,0.12371134020618557,4,6,0.0,0.03,hubs,8,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.010309278350515464,0.003436426116838488,0.0,1,0,0.0,0.03,hubs,9,False,0%,3% фактчекеров в хабах
291,0.09621993127147767,0.3711340206185567,0.03436426116838488,0.2646048109965636,14,9,0.0,0.03,hubs,10,False,0%,3% фактчекеров в хабах
291,0.01718213058419244,0.058419243986254296,0.010309278350515464,0.030927835051546393,3,2,0.0,0.03,hubs,11,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.003436426116838488,0.003436426116838488,1,0,0.0,0.03,hubs,12,False,0%,3% фактчекеров в хабах
291,0.03436426116838488,0.10996563573883161,0.010309278350515464,0.0859106529209622,5,5,0.0,0.03,hubs,13,False,0%,3% фактчекеров в хабах
291,0.024054982817869417,0.13058419243986255,0.013745704467353952,0.07560137457044673,3,2,0.0,0.03,hubs,14,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.010309278350515464,0.0,0.006872852233676976,1,0,0.0,0.03,hubs,15,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.003436426116838488,0.010309278350515464,1,0,0.0,0.03,hubs,16,False,0%,3% фактчекеров в хабах
291,0.027491408934707903,0.15807560137457044,0.01718213058419244,0.06529209621993128,5,5,0.0,0.03,hubs,17,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.003436426116838488,0.006872852233676976,1,0,0.0,0.03,hubs,18,False,0%,3% фактчекеров в хабах
291,0.024054982817869417,0.12027491408934708,0.003436426116838488,0.09621993127147767,4,4,0.0,0.03,hubs,19,False,0%,3% фактчекеров в хабах
291,0.037800687285223365,0.13745704467353953,0.024054982817869417,0.058419243986254296,5,12,0.0,0.03,hubs,20,False,0%,3% фактчекеров в хабах
291,0.006872852233676976,0.024054982817869417,0.0,0.020618556701030927,2,1,0.0,0.03,hubs,21,False,0%,3% фактчекеров в хабах
291,0.006872852233676976,0.024054982817869417,0.003436426116838488,0.020618556701030927,2,2,0.0,0.03,hubs,22,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.003436426116838488,0.003436426116838488,1,0,0.0,0.03,hubs,23,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.0,0.006872852233676976,1,0,0.0,0.03,hubs,24,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.0,0.010309278350515464,1,0,0.0,0.03,hubs,25,False,0%,3% фактчекеров в хабах
291,0.010309278350515464,0.027491408934707903,0.003436426116838488,0.020618556701030927,1,0,0.0,0.03,hubs,26,False,0%,3% фактчекеров в хабах
291,0.01718213058419244,0.044673539518900345,0.006872852233676976,0.027491408934707903,2,3,0.0,0.03,hubs,27,False,0%,3% фактчекеров в хабах
291,0.003436426116838488,0.013745704467353952,0.003436426116838488,0.003436426116838488,1,0,0.0,0.03,hubs,28,False,0%,3% фактчекеров в хабах
291,0.010309278350515464,0.030927835051546393,0.006872852233676976,0.010309278350515464,3,2,0.0,0.03,hubs,29,False,0%,3% фактчекеров в хабах
288,0.03125,0.1840277777777778,0.010416666666666666,0.1284722222222222,4,2,0.01,0.03,hubs,0,False,1%,3% фактчекеров в хабах
288,0.06597222222222222,0.22916666666666666,0.03819444444444445,0.1423611111111111,5,4,0.01,0.03,hubs,1,False,1%,3% фактчекеров в хабах
288,0.05555555555555555,0.22569444444444445,0.017361111111111112,0.14583333333333334,7,16,0.01,0.03,hubs,2,False,1%,3% фактчекеров в хабах
288,0.06597222222222222,0.3159722222222222,0.03125,0.16666666666666666,7,8,0.01,0.03,hubs,3,False,1%,3% фактчекеров в хабах
288,0.04513888888888889,0.2465277777777778,0.020833333333333332,0.1527777777777778,9,4,0.01,0.03,hubs,4,False,1%,3% фактчекеров в хабах
288,0.0625,0.22569444444444445,0.03125,0.13541666666666666,6,7,0.01,0.03,hubs,5,False,1%,3% фактчекеров в хабах
288,0.04861111111111111,0.18055555555555555,0.024305555555555556,0.10069444444444445,5,2,0.01,0.03,hubs,6,False,1%,3% фактчекеров в хабах
288,0.1388888888888889,0.5,0.059027777777777776,0.3055555555555556,19,5,0.01,0.03,hubs,7,False,1%,3% фактчекеров в хабах
288,0.0625,0.2013888888888889,0.041666666666666664,0.09375,6,6,0.01,0.03,hubs,8,False,1%,3% фактчекеров в хабах
288,0.06597222222222222,0.2326388888888889,0.03819444444444445,0.1284722222222222,4,6,0.01,0.03,hubs,9,False,1%,3% фактчекеров в хабах
